tree.0001.01,tree.0001.02,tree.0001.03,tree.0001.04,tree.0001.05,tree.0001.06,tree.0001.07,tree.0001.08,tree.0001.09,tree.0001.10,tree.0002.01,tree.0002.02,tree.0002.03,tree.0002.04,tree.0002.05,tree.0003.01,tree.0003.02,tree.0003.03,tree.0003.04,tree.0003.05,tree.0004.01,tree.0004.02,tree.0004.03,tree.0004.04,tree.0004.05,tree.0005.01,tree.0005.02,tree.0005.03,tree.0005.04,tree.0005.05,tree.0006.01,tree.0006.02,tree.0006.03,tree.0006.04,tree.0006.05,tree.0007.01,tree.0007.02,tree.0007.03,tree.0007.04,tree.0007.05,tree.0008.01,tree.0008.02,tree.0008.03,tree.0008.04,tree.0008.05,tree.0009.01,tree.0009.02,tree.0009.03,tree.0009.04,tree.0009.05,tree.0010.01,tree.0010.02,tree.0010.03,tree.0010.04,tree.0010.05,tree.0011.01,tree.0011.02,tree.0011.03,tree.0011.04,tree.0011.05,tree.0012.01,tree.0012.02,tree.0012.03,tree.0012.04,tree.0012.05,tree.0013.01,tree.0013.02,tree.0013.03,tree.0013.04,tree.0013.05,tree.0014.01,tree.0014.02,tree.0014.03,tree.0014.04,tree.0014.05,tree.0015.01,tree.0015.02,tree.0015.03,tree.0015.04,tree.0015.05,tree.0016.01,tree.0016.02,tree.0016.03,tree.0016.04,tree.0016.05,tree.0017.01,tree.0017.02,tree.0017.03,tree.0017.04,tree.0017.05,tree.0018.01,tree.0018.02,tree.0018.03,tree.0018.04,tree.0018.05,tree.0019.01,tree.0019.02,tree.0019.03,tree.0019.04,tree.0019.05
916.030038199,711.213949659,778.320459853,727.162646266,784.911114512,721.318518271,740.773920442,675.460685302,816.626366512,708.338477423,1228.02076689,1024.81311374,1144.41503061,1077.64490614,1153.57002424,910.854683898,955.165979548,902.527186843,861.810115941,980.883902426,915.871736616,887.531137001,1040.50911668,1031.00293457,870.574895765,117.615197629,118.395072242,113.535229339,117.683232798,111.295706702,755.139452726,640.094348376,710.782724061,670.77548742,741.286982926,638.417719139,678.112373952,710.032576623,696.883817302,618.136147918,1226.95577425,1295.16390358,1297.67261873,1242.99030848,1336.72105753,1091.76838133,1087.96841596,1124.62066566,1135.77004067,1227.27182567,1024.29271255,974.991577094,1013.49513455,971.135538625,947.895500222,88.1877373714,69.319361653,78.7541103254,96.1494694844,97.2404918293,603.048715661,640.73308258,521.04707486,650.349997617,603.061915692,537.458428825,550.132114176,660.015438974,453.085020477,559.257672888,745.475159449,801.964252081,696.241273468,790.720041188,854.752193069,714.800560354,667.95125175,735.372961486,569.184979224,639.047853124,825.798617194,644.182419575,780.663977605,704.523367383,700.625394922,199.634919309,227.48774266,212.236748871,241.441071828,252.173786477,626.667509232,595.729779723,570.24153955,594.688477616,606.692103318,532.457945412,461.347066323,560.321329725,486.577433478,559.088534682
0,741.993747041,694.174540808,638.592587167,689.176563696,644.2603219,649.991687747,606.174742021,720.326704285,634.362540516,1091.75086405,905.85282231,1021.5519446,970.748462925,1022.9162937,809.426666459,846.765908393,794.16324405,766.161990154,870.278272586,813.396638127,779.619639736,916.126092815,914.847387771,770.560916916,105.230476977,108.496895864,102.58601435,103.790353836,102.685087673,669.182559722,573.446176634,639.518016006,601.103348247,655.603088438,562.237689809,594.382912419,629.621094621,609.147253171,545.527138636,1088.25730515,1138.64693899,1142.57689915,1105.02526011,1179.51259549,974.339185477,969.578646975,997.87109046,1006.77608398,1096.56793466,918.270699807,867.735083218,912.645842454,871.367835765,843.807735758,80.427819638,60.5706516455,73.3554206409,88.847023628,87.4993005529,538.619649717,556.253496806,463.361101704,578.326152212,536.788133772,480.640549102,494.447355338,585.62835634,403.347498543,504.7987285,655.184345312,708.097391546,616.654326792,706.306538175,746.65272162,629.244941222,590.123552174,659.156817514,508.853928143,571.179538297,735.620380357,581.429688644,688.246247056,626.378374967,621.24976743,180.732453875,202.905785083,195.497217246,221.750293938,227.118937712,542.861154867,520.823631859,509.984864028,532.358930777,526.935745747,474.330397748,409.128794004,491.457219573,430.299925214,497.812185809
0,0,880.914620268,708.903476347,763.533841932,698.579187144,705.671005148,645.994792271,798.117104349,700.537280782,1202.94600367,1007.35943027,1119.47107819,1073.37064857,1121.5761676,882.70288572,924.060414997,874.788810995,832.737539143,972.093272292,890.457121784,867.646932702,1028.18383482,1026.64156015,852.068945542,104.563967566,110.584311424,102.080473561,102.926599967,101.03171909,753.943225858,622.40187852,688.798419797,652.282630849,715.010587149,611.034642555,638.275470337,694.12519191,671.419756754,591.181128914,1172.44237055,1232.32622007,1233.91322041,1183.56961994,1274.18770048,1059.07543654,1080.20132873,1095.7684125,1106.49280999,1193.79722558,1008.06848057,943.050244504,994.860995845,951.68959398,929.995097218,85.5299793864,64.3223258819,71.756101504,90.9978064174,93.5626550974,584.983498905,598.220764467,498.117570728,625.435212064,580.269023424,507.991672009,525.642496792,631.587517272,440.683083215,551.49469483,724.374895791,776.216346664,670.887157168,771.18820722,833.642319757,696.961421946,651.785403781,705.830703293,557.96308085,624.149277726,806.665680231,632.583428665,751.054959311,681.416280784,664.126499789,175.786497943,199.481690819,190.955602456,214.35673946,224.25722546,602.836107636,566.78176482,546.364342694,575.979283716,574.660650956,513.357352009,442.244436819,525.678398731,466.004489968,537.634039331
0,0,0,769.247523589,700.255678374,658.581595532,668.316557272,611.661873478,744.144727637,646.331881113,1112.79313255,920.917635639,1044.42906132,979.285697356,1043.51758394,825.174336833,863.629768435,813.558457518,785.041607651,888.053418066,827.208191082,813.203783472,947.478206723,935.117874996,789.973535829,110.100039658,113.44523922,109.140282261,107.814164979,109.998692881,683.326651066,591.08912404,646.208835284,609.479209453,670.783535888,591.310334388,603.342795497,639.500424944,633.93615409,562.877188536,1124.0652044,1174.05062029,1189.82028567,1136.23473552,1216.24828403,1005.78019982,983.154387213,1022.25022049,1017.34153951,1104.79439998,928.238687347,888.632936443,913.391076993,899.084214592,865.763324156,83.9931619168,65.3254025904,77.4225371042,91.7457192135,92.7589472528,551.905642002,570.030661302,477.475074808,583.768818317,546.017789164,484.754213659,497.190760899,598.077941663,412.501491934,496.818098313,675.232451055,732.776620166,623.352196184,722.899383615,756.843260334,651.29696893,604.016136575,663.617245004,530.142417715,580.22753032,744.97227063,587.856815837,705.571742857,638.84466839,626.879737806,189.923141346,216.563397135,207.484290252,231.401762196,241.639813268,560.844273372,543.327239285,526.990028805,538.016195861,553.062455845,476.798017277,432.796773196,504.840792393,446.970480737,500.740345312
0,0,0,0,891.90394823,710.684411431,719.639164725,651.326570086,795.572886166,700.315038587,1185.94458913,996.722844485,1083.90141571,1027.69083076,1083.34932885,889.904138379,894.436017199,893.434437936,842.269617534,957.055373076,882.527669459,849.068773329,980.308859887,1032.60359979,857.321495226,119.259558498,121.2938812,116.517981503,111.133180084,111.675700817,742.040916414,637.323815401,709.327896403,658.583293601,713.60260608,625.449296774,658.538118873,687.038150431,682.921505449,589.93553261,1171.07724639,1213.35552342,1214.37710805,1157.96381938,1263.14629753,1047.73610653,1036.76786233,1082.5605779,1101.51521414,1165.90658732,974.470799934,936.008050053,973.318472337,953.800066635,916.773716672,86.8193037551,72.5636125251,77.8533002097,92.1604058384,92.3465745972,589.156085123,630.409663763,507.117851953,642.771713785,597.065295586,511.679406098,539.454831629,662.293100957,454.020960277,553.397242238,711.519462518,783.935417775,665.508055218,762.560399583,840.27468816,701.401228729,659.087139959,712.07216195,541.089926972,617.833672107,817.068375707,635.604998249,766.161199785,714.416467181,707.221466275,224.336398881,254.746667014,239.212764293,276.12992084,280.799372079,619.156484849,596.827231296,554.35125804,585.184358056,597.067041496,540.714786473,462.572363509,555.22267406,480.253524828,551.270721814
0,0,0,0,0,767.034775388,664.45713076,615.657069088,738.568937222,656.338755799,1144.83530115,947.665258663,1081.9250087,1004.4925453,1074.25313579,835.486688995,869.052209882,826.680143405,785.20349338,896.122276724,845.177490043,818.330524077,943.070768511,945.057208214,799.216457826,112.971835561,114.089005763,105.983665047,105.428086782,110.374133552,683.39366952,587.320624432,653.5017605,614.093570143,675.786397572,576.172977683,608.406742438,635.665397646,624.953477529,555.197442245,1185.0619772,1240.39816278,1241.29717102,1194.03846193,1274.76882789,1035.86447672,1000.30506306,1055.33450238,1053.84846092,1133.78497495,953.429984785,907.670902207,938.950557135,910.667799513,880.067523991,77.0514011207,62.20581578,75.5637617773,86.5458505765,88.0251120429,545.109155323,573.112012435,469.34366454,589.030241358,546.337964842,485.051884623,496.435547731,606.055897616,413.809180389,507.989919546,661.277030331,725.631255046,626.847313807,726.499080992,761.511434745,635.303700889,608.78254255,666.806341605,521.411401372,584.041920203,751.238107762,590.126576623,688.781144907,647.551128534,637.891778671,228.492945674,258.251835057,243.445368749,283.588661427,286.749228056,554.977209764,539.867989293,522.285215816,538.303076793,547.743495074,483.057533077,431.078855969,502.537275616,441.603760235,499.890326058
0,0,0,0,0,0,769.842534937,615.427328857,740.038193272,647.14099031,1116.77048479,919.555220681,1038.87325454,987.536434215,1048.58070428,828.127908194,859.329446057,817.653600542,791.58296589,892.184773734,826.118269143,801.293901938,941.434163173,928.522090087,792.143255473,109.068346601,113.128050318,108.216659595,106.932426008,107.06795187,684.049478337,590.934844051,647.727098869,611.275398738,667.990691152,582.501123123,607.188954188,642.925488145,632.201287523,557.963771348,1119.06790667,1172.29743209,1175.13928132,1136.0872901,1207.82140535,996.493248425,978.685207642,1029.25077715,1029.04014978,1111.55246662,928.774011863,884.730259935,916.659555287,892.545570422,867.986288435,79.8686180801,64.4726204239,74.2545693469,88.1072363887,88.9103488878,557.483761044,577.822647598,473.297558152,589.105842742,557.448535545,488.123492191,503.094411092,604.966619137,412.089669347,509.619111257,670.099697022,726.981348048,625.831275353,721.539884562,768.638247532,650.905893769,613.699979733,670.708435355,523.188182461,580.972170353,749.915278756,589.666192763,705.721163402,637.678426521,637.858189918,196.897692511,228.31648832,213.675848151,244.725257156,254.106993439,572.532060845,547.784798143,524.32503916,545.161589088,549.354921275,483.034646169,429.454733413,513.055405167,445.087046495,500.133666417
0,0,0,0,0,0,0,686.982161855,681.339680388,604.198922347,1095.74990943,899.431874225,1045.36595986,961.429735516,1029.5521263,793.525347733,840.895055409,771.677660853,735.89471563,835.752210127,795.946553708,769.341605394,897.327742732,882.478632735,747.925138859,106.26886458,101.670524593,98.4895941379,106.640316317,105.796632869,627.728627956,537.675068706,606.772637008,574.190065474,629.984519332,536.0406941,575.769595512,592.79527243,590.814154702,523.407250083,1181.90374809,1232.32727932,1257.55592236,1205.18177983,1280.92029681,988.959213736,954.456837477,1008.86456964,1000.35781096,1107.22880065,904.98429035,871.599731686,901.906509984,855.762039704,832.213511891,74.5609033834,60.5118189054,69.231222185,81.147616906,85.7881333273,510.194461716,535.848241305,438.137794239,547.014978277,506.656159399,458.13837891,467.963937107,554.509400069,389.739797549,469.678607455,621.899336571,674.29395966,599.561613655,669.355778126,712.946529487,594.329444772,568.50221616,630.396202073,476.277704402,545.501128857,704.834710579,542.602853736,653.54279726,602.252213033,592.971335205,248.737895123,275.900709882,260.509826081,293.977356452,302.585424015,521.622692487,491.126028085,488.721757642,500.358473474,501.13184374,441.382767948,392.331814704,464.221442078,406.576245357,464.695107513
0,0,0,0,0,0,0,0,949.377854662,721.019914634,1235.29635389,1020.16472792,1148.64699709,1096.80463483,1160.91467675,930.935440241,961.083817927,914.833631296,872.783137142,1003.96929973,926.562803428,900.360977259,1045.54261495,1050.44934748,885.524339723,119.313766574,121.419600461,109.726646054,114.779218393,109.714937358,776.680898149,662.799377101,732.588423214,678.79999806,757.5314363,639.400194843,667.729941653,713.931419734,686.184278449,613.289654432,1211.98596138,1284.77050736,1282.75509422,1226.50070387,1314.09770524,1110.78863217,1086.03807277,1126.72703733,1142.90293181,1236.08201305,1040.57851558,982.173308622,1026.62846663,998.173938632,963.750016,83.3587826528,65.6480482205,72.924720848,95.2395677093,95.1126275254,618.137481587,632.667523988,530.985235195,652.602295006,595.32763316,535.185796766,554.784362797,671.47875699,449.14901276,554.27112316,763.655922615,811.898046548,693.412537483,821.91741945,854.394545952,718.766853746,677.640829483,744.02500677,579.29163287,651.837164151,839.493773489,658.467185269,792.963150023,720.260098859,706.08118635,198.145387304,228.884581494,214.942588033,242.654780549,252.776125397,621.799643842,605.55074975,584.576216719,605.597888391,607.530920483,529.204326274,485.107871744,563.317450689,483.116671793,556.979995335
0,0,0,0,0,0,0,0,0,783.228931527,1122.51503638,932.954778198,1047.69624555,981.344492195,1059.26357871,823.061877478,859.615595156,802.177304017,771.168466492,897.326307947,827.07223396,825.956692293,966.315036183,940.015582766,779.763528656,99.2934077927,109.97487758,101.096510766,102.805563783,102.165339724,664.920262338,578.737305965,625.12200676,605.421670301,652.85615742,551.946300116,591.402678779,622.196173549,612.13962562,550.448071859,1136.06163686,1168.81572906,1189.52463419,1145.87808381,1204.64622737,1016.3338048,1015.19968677,1035.84991444,1047.56756036,1112.87782705,933.11701232,881.218502901,916.366102881,887.625237392,855.713951215,81.8872131436,58.624215913,65.5532107419,87.7699790935,86.6705706399,540.522864033,546.919590388,460.868682915,584.331798584,536.605287867,479.17221348,480.732254008,593.066436484,408.478882601,486.125528702,654.327950053,719.745392276,621.242917705,705.304774867,764.153513787,631.701167724,602.97871864,642.8780764,522.03950136,574.091670484,733.383896048,577.407661401,667.57414878,623.862794179,628.229392545,180.280921488,200.110814814,193.005564082,223.042467105,232.707228452,541.260928129,522.835926354,516.249841708,523.517063534,544.744804969,470.787378974,429.442875899,485.349391467,429.795567783,497.656984564
