tree.0001.01,tree.0001.02,tree.0001.03,tree.0001.04,tree.0001.05,tree.0002.01,tree.0002.02,tree.0002.03,tree.0002.04,tree.0002.05,tree.0003.01,tree.0003.02,tree.0003.03,tree.0003.04,tree.0003.05,tree.0004.01,tree.0004.02,tree.0004.03,tree.0004.04,tree.0004.05,tree.0005.01,tree.0005.02,tree.0005.03,tree.0005.04,tree.0005.05,tree.0006.01,tree.0006.02,tree.0006.03,tree.0006.04,tree.0006.05,tree.0007.01,tree.0007.02,tree.0007.03,tree.0007.04,tree.0007.05,tree.0008.01,tree.0008.02,tree.0008.03,tree.0008.04,tree.0008.05,tree.0009.01,tree.0009.02,tree.0009.03,tree.0009.04,tree.0009.05,tree.0010.01,tree.0010.02,tree.0010.03,tree.0010.04,tree.0010.05,tree.0011.01,tree.0011.02,tree.0011.03,tree.0011.04,tree.0011.05,tree.0012.01,tree.0012.02,tree.0012.03,tree.0012.04,tree.0012.05,tree.0013.01,tree.0013.02,tree.0013.03,tree.0013.04,tree.0013.05,tree.0014.01,tree.0014.02,tree.0014.03,tree.0014.04,tree.0014.05,tree.0015.01,tree.0015.02,tree.0015.03,tree.0015.04,tree.0015.05,tree.0016.01,tree.0016.02,tree.0016.03,tree.0016.04,tree.0016.05,tree.0017.01,tree.0017.02,tree.0017.03,tree.0017.04,tree.0017.05,tree.0018.01,tree.0018.02,tree.0018.03,tree.0018.04,tree.0018.05,tree.0019.01,tree.0019.02,tree.0019.03,tree.0019.04,tree.0019.05
886.750433491,682.388143029,750.759582976,699.316124531,753.017707485,1194.93389713,990.317426459,1111.87726876,1046.84019256,1122.35799663,882.256750686,921.197187474,869.759408209,832.033218957,949.37733814,883.290376043,855.580573548,1008.89277269,997.818466257,843.807066872,106.254136001,105.040355981,100.496793878,102.173501976,97.0512389623,727.115826671,617.901379248,683.938205084,647.478997315,710.663449659,598.114490177,636.213942884,673.377424616,657.052775444,578.760136271,1191.2906202,1257.28025572,1261.30210053,1211.65750419,1298.5516945,1060.15299068,1056.84467836,1091.99730454,1102.46919577,1191.36129028,993.383605717,943.703872017,984.442758529,940.073594873,917.747015635,74.152908958,57.7810765003,66.3091692895,83.4279689258,85.0827829038,580.314909304,612.000425603,496.391432335,627.407264257,576.64168756,510.717119875,523.286414465,635.256180952,431.832778259,533.828963887,720.607269203,773.860642675,672.435853901,760.866086048,824.336828848,684.331703044,640.854482158,704.04065944,543.283976196,617.373241945,795.134627962,617.863403861,752.629699539,677.768636588,671.294520881,187.65487592,217.339402793,198.270464814,230.388231722,240.471886963,599.064888209,566.867067602,544.874982125,571.517797439,580.729327747,510.005291908,444.234684239,533.169881492,464.08558761,536.543791712
0,714.750244587,667.651250871,611.463624132,661.35791332,1058.12610429,874.070829233,988.067548704,941.037895049,993.408672254,780.354674141,813.439751933,766.225184247,737.877438152,840.396393815,785.922372477,749.837389155,885.958892935,880.582663592,747.024586213,93.8070107511,97.5886274205,91.261580765,91.3104945099,91.330357704,643.411837179,550.084376396,614.189281364,579.025367203,629.574214614,525.030232945,558.820383467,595.900262096,569.45473682,510.263519283,1053.82474396,1102.78212432,1108.03561184,1073.58890479,1143.06237571,941.204900519,939.209636442,965.67597481,975.239508004,1060.01602213,888.087818189,836.152680147,884.48730578,842.259690568,816.043350487,68.1484872408,49.3097049992,61.824809285,77.0648885032,76.1747902954,516.204252809,530.273205499,440.202309909,556.214292266,511.224338916,457.407712674,469.937497508,560.456613441,383.542682405,481.179080787,630.795301466,679.685313625,593.477823955,681.0403949,721.058739349,602.104376446,564.521841511,628.885745395,483.413714725,548.850016743,711.414728342,556.52350207,661.654064174,602.221736656,592.55481908,170.673105802,193.47347442,183.277129261,212.278978389,217.663336114,517.077373129,496.096344326,486.125794451,508.910294587,503.551829378,454.292870391,389.987047061,467.820429404,407.302086071,477.296121723
0,0,853.221598707,678.932827848,734.194103355,1169.60699336,973.078934797,1085.90799307,1040.73497584,1089.60353141,853.6711834,891.599855133,846.388897828,804.716527941,941.262905019,860.973426734,837.080218988,996.573755281,993.357657565,825.282853932,94.3231533449,99.5987706376,91.0228765797,90.852274076,88.6412268465,724.403187529,601.074274739,663.357740577,628.031305455,687.826558891,575.785283296,603.718823263,661.246244603,634.322981851,557.365154332,1136.99733612,1197.98660175,1199.94173093,1151.70369896,1236.67025696,1028.96238973,1048.83098385,1060.49084569,1076.26264107,1158.78284948,977.614391886,911.859492565,964.962895485,919.628496427,900.777450188,74.326831301,53.2503765284,59.4199310294,78.9205880366,82.159475582,561.230127496,572.328403383,475.113729498,602.077537908,555.021033103,482.703592347,500.989915292,607.410225621,419.099204233,526.961081933,697.382081242,748.059327575,646.12449843,743.294776371,805.605447706,668.524918586,624.198265846,675.521050821,531.440414028,600.653693134,779.973033915,607.393992099,725.00279899,653.689707152,638.297016453,165.060732581,189.946802781,177.73149592,203.111404544,213.214318018,574.679898486,539.387377926,520.86097097,552.475117491,551.724310999,492.812764403,421.689403921,500.284717575,440.767944596,514.662476696
0,0,0,741.940105599,670.178361433,1077.55062746,884.529771427,1009.36837061,946.547884281,1012.94163487,795.67747121,828.562769058,782.594710281,755.9311253,855.408081404,795.315260017,781.18449926,913.037389114,897.705746163,762.69509155,97.1577310207,99.5899631199,95.1830088842,93.2635073703,96.0015100822,654.346665443,565.866256491,618.723071887,584.788254231,641.657170594,548.852464507,565.303185484,603.234151346,589.920056845,526.656634163,1087.16138064,1137.58620956,1153.46943344,1105.16696563,1177.91120463,973.331916629,951.313067505,989.456309509,984.199133565,1067.72440002,895.624197503,856.438454405,881.921292586,868.280136432,834.340381163,70.7847851718,53.4692277972,64.032092206,78.1819400299,78.7801531547,529.529568807,542.434455025,451.457526191,560.291078826,517.433510749,459.286132699,470.112792764,573.697661186,390.724564155,473.352843205,649.624638391,701.270514308,595.850643804,695.015758584,725.95811722,620.14348277,576.634439214,633.718785517,502.928227514,556.174342487,714.652088141,564.04988015,678.098924514,610.707790343,598.791160511,178.932085119,206.46220157,192.487545923,220.514098212,230.37530808,531.133288881,515.612771359,501.754085415,511.661641452,528.222392371,455.635222905,413.584493404,478.81922125,420.537005001,477.612264328
0,0,0,0,857.156483617,1145.49484664,959.541931971,1045.27398054,990.475631189,1047.92193191,858.084645582,856.956757908,861.01298795,809.607474537,921.728409229,849.400414926,816.060509638,944.262873639,995.397895873,827.752844507,106.250768602,107.546002918,104.419869168,96.081309103,98.2021979329,710.97242338,611.424379831,679.616893725,632.337977088,683.726919212,583.086125472,618.331677843,648.26410897,641.490955777,551.319963354,1130.64102649,1178.30659562,1176.34599574,1123.11780059,1221.14395801,1013.0262679,1002.65931291,1044.74865926,1064.2523033,1124.45934395,936.648137309,900.053139044,937.197739762,918.114837508,881.747090215,74.0108149266,59.2568971151,65.2948902268,79.8056499517,78.5663715725,565.952410837,599.175050083,484.6518136,616.479150477,569.379975338,483.758957918,511.815882664,634.993155828,428.468403628,528.78605108,681.236450878,751.85415497,638.61529812,730.844280577,805.515880829,668.370600472,628.323860256,677.222634155,513.201537513,593.125197898,783.525843803,607.312124328,734.59264199,686.306357237,673.694499824,213.140114265,243.953894621,225.314513658,265.529328212,270.599745012,588.66038462,567.500031551,528.330530748,561.871431343,571.199455593,515.578580963,441.794202937,527.938684566,452.563122088,526.897926884
0,0,0,0,0,2550.00323906,1943.42978862,2336.68415362,2062.74754393,2278.83809454,1530.88916144,1689.27150563,1495.58387227,1395.02538488,1646.76818058,1620.73436998,1543.42054732,1821.1851315,1759.66077688,1470.24338673,154.042942584,141.126493284,118.938597298,152.150155219,148.530064915,1121.5375445,920.857691303,1076.55688435,1018.26972578,1148.45584224,951.201418151,1081.55090715,1119.84771565,1118.79430205,948.563427528,2873.48775236,2994.64782552,3100.19997843,2976.88041763,3159.88428907,2224.23077071,2060.06868023,2270.06794239,2184.93951439,2425.53991039,1919.9385854,1832.84720544,1871.60129912,1762.67078886,1771.37829915,90.1934351481,62.0259213673,95.623085856,102.01178353,114.59796972,836.409638602,930.995970478,674.530779973,951.167342744,875.816684985,743.054798738,754.287510855,934.901478743,628.604346866,802.20575115,1079.08838023,1229.46968376,1082.64729625,1231.43643456,1302.79663577,1001.20327392,1028.06476012,1118.94763898,789.86890453,973.65201341,1287.53596268,948.958896436,1131.32357371,1057.81288612,1013.3410534,573.954771768,645.030786693,588.453608102,714.723051137,723.741060991,844.910961455,805.127916008,830.92075652,843.685508723,827.707872974,721.760383795,636.353326834,734.800820203,653.185573315,750.905015371
0,0,0,0,0,0,1697.70878379,1858.4349654,1669.72368537,1811.47368531,1272.0785517,1367.89487006,1221.3513126,1147.5073989,1332.59631938,1325.26880283,1251.39144154,1476.5128767,1433.97394919,1207.95733415,127.306300625,124.03643688,106.502518143,125.956764107,120.458397506,942.367061178,764.253757847,891.694610414,837.726439201,939.112632965,770.790217298,881.392918151,920.309204204,922.387791783,772.016731165,2277.85199346,2367.74203178,2462.27211068,2336.43085085,2533.66343407,1768.01107935,1678.06529639,1791.09340303,1759.90325114,1963.70884704,1546.70853064,1469.28788893,1522.53502788,1429.91470192,1430.73436461,77.0391448263,58.5109538327,82.3210749386,88.5699759939,94.4639228408,690.255907157,763.030747573,576.55145486,778.393800897,719.374095154,610.973451585,632.635429914,782.740572023,536.645547084,686.096440015,897.792030781,1007.96650609,893.570628591,1009.67493607,1070.71848437,834.136031095,844.656100855,911.596859189,658.016881074,801.240024752,1066.98693961,799.355514943,932.862055247,894.761584881,844.379135973,401.171575067,449.164020646,413.383546748,495.146912008,504.273494992,708.06801535,664.076254712,682.818250709,705.656208272,685.562796042,607.142296997,522.277515274,612.444331237,545.48102164,637.870922359
0,0,0,0,0,0,0,2362.81237718,1990.73241071,2188.46628631,1457.3223764,1629.39922756,1409.75869017,1313.81402668,1536.5682793,1546.83434723,1449.94102072,1735.31528168,1621.62667413,1376.40276237,150.434110674,134.911535039,109.52081164,144.958554171,141.21370681,1043.59146241,857.450718908,1006.0217981,952.541295906,1081.24248509,877.14963335,1020.12431648,1060.88441803,1046.3886693,889.190069036,2844.04379428,2958.3924554,3088.20100654,2944.02401775,3146.0496508,2138.09318105,1969.72104629,2163.88372367,2072.65326912,2352.43308859,1849.05535407,1757.65818649,1795.39193384,1677.08092913,1685.26216906,87.1343174199,58.6939754755,92.5614483998,97.6898550259,117.928821315,773.377229832,866.817125629,627.378673039,876.092741451,807.627521935,699.70562394,714.698240318,856.299423152,596.82716227,746.107585911,1009.12566368,1147.51691457,1024.10296442,1166.49838636,1206.67510081,931.828842306,962.829965052,1061.85901709,740.2474694,917.794401341,1198.42226131,894.823036028,1041.3831274,993.195548271,937.383028717,577.962846852,640.554931181,593.749655928,717.705037976,716.64796653,778.161235618,727.269396435,787.074595102,777.412014958,763.756874403,668.468202237,592.09031277,667.06399892,608.351656583,698.790193892
0,0,0,0,0,0,0,0,1900.30969096,1938.02752915,1329.21985346,1479.31078554,1290.32218287,1209.35015163,1420.69733903,1400.1977356,1323.34012117,1589.66430047,1493.85271075,1265.50117039,129.967262595,124.853792942,102.171131816,133.64138842,123.001197841,1018.81162449,812.396288784,955.533230725,891.264636816,1014.38651495,812.946875519,921.44001617,986.417975585,956.102565586,812.819136469,2360.46347345,2462.87878352,2525.71349223,2427.41055434,2609.06948085,1857.86360874,1779.64856192,1890.68476427,1850.74483333,2088.08583791,1661.75611668,1558.88183108,1622.8213387,1520.72444182,1516.50277942,82.379574456,56.2508004969,81.2414666128,93.1243447735,105.828357156,740.942629354,793.757225862,609.907875839,816.437699383,747.927758553,664.033186298,679.013732316,809.867633611,560.715799596,725.893966834,972.741265045,1066.2936471,946.310211649,1081.80946278,1136.46270258,884.9278648,894.024043696,995.133774144,707.439131273,866.687346191,1127.53486326,852.520657298,998.571571389,920.230389213,882.376627619,418.270314239,471.46993327,431.329098521,526.512166469,528.698323444,741.64374374,686.197341225,713.616416955,735.342964244,715.982006239,627.011594666,544.323558413,637.922283313,574.254214268,668.584604047
0,0,0,0,0,0,0,0,0,2216.7445959,1443.67930107,1592.8860584,1392.67635792,1304.74818464,1528.2420042,1516.87306558,1444.00457158,1723.93323598,1608.61403619,1362.17550007,139.458476513,131.568103816,108.903077109,141.557642615,135.272690723,1048.28655621,869.838852021,1002.9921684,939.299027548,1082.67112614,880.961687977,996.876497098,1039.7280132,1021.31425284,884.080328252,2680.36767365,2805.22007452,2901.40765663,2779.13404001,2958.52504581,2086.05408608,1921.88856341,2101.96376408,2026.02546836,2279.06930581,1808.46279514,1706.84963658,1751.34076587,1656.2739566,1650.50519195,82.1690891147,51.8067052341,86.5022955056,97.1291164177,107.975445058,787.897605727,849.938862207,626.638008712,874.902871616,801.847115959,701.605913784,710.155120758,861.366201665,588.02723777,745.971301351,1017.01322691,1146.79512773,1007.51973158,1167.06385983,1202.72032283,936.616274187,968.36278726,1061.21599512,753.982275574,915.699526681,1200.32093615,896.213927946,1042.57156323,984.786715809,933.726381586,519.363948553,580.463758244,533.772314305,648.956780598,653.49492081,780.293668775,732.86375571,782.980363625,783.270596537,777.679758436,666.946789692,600.866776323,672.440177358,598.035150591,705.625217516
