tree.0001.01,tree.0001.02,tree.0001.03,tree.0001.04,tree.0001.05,tree.0001.06,tree.0001.07,tree.0001.08,tree.0001.09,tree.0001.10,tree.0020.01,tree.0020.02,tree.0020.03,tree.0020.04,tree.0020.05,tree.0020.06,tree.0020.07,tree.0020.08,tree.0020.09,tree.0020.10,tree.0021.01,tree.0021.02,tree.0021.03,tree.0021.04,tree.0021.05,tree.0021.06,tree.0021.07,tree.0021.08,tree.0021.09,tree.0021.10,tree.0022.01,tree.0022.02,tree.0022.03,tree.0022.04,tree.0022.05,tree.0022.06,tree.0022.07,tree.0022.08,tree.0022.09,tree.0022.10,tree.0023.01,tree.0023.02,tree.0023.03,tree.0023.04,tree.0023.05,tree.0023.06,tree.0023.07,tree.0023.08,tree.0023.09,tree.0023.10,tree.0024.01,tree.0024.02,tree.0024.03,tree.0024.04,tree.0024.05,tree.0024.06,tree.0024.07,tree.0024.08,tree.0024.09,tree.0024.10,tree.0025.01,tree.0025.02,tree.0025.03,tree.0025.04,tree.0025.05,tree.0025.06,tree.0025.07,tree.0025.08,tree.0025.09,tree.0025.10,tree.0026.01,tree.0026.02,tree.0026.03,tree.0026.04,tree.0026.05,tree.0026.06,tree.0026.07,tree.0026.08,tree.0026.09,tree.0026.10,tree.0027.01,tree.0027.02,tree.0027.03,tree.0027.04,tree.0027.05,tree.0027.06,tree.0027.07,tree.0027.08,tree.0027.09,tree.0027.10,tree.0028.01,tree.0028.02,tree.0028.03,tree.0028.04,tree.0028.05,tree.0028.06,tree.0028.07,tree.0028.08,tree.0028.09,tree.0028.10,tree.0029.01,tree.0029.02,tree.0029.03,tree.0029.04,tree.0029.05,tree.0029.06,tree.0029.07,tree.0029.08,tree.0029.09,tree.0029.10,tree.0030.01,tree.0030.02,tree.0030.03,tree.0030.04,tree.0030.05,tree.0030.06,tree.0030.07,tree.0030.08,tree.0030.09,tree.0030.10,tree.0031.01,tree.0031.02,tree.0031.03,tree.0031.04,tree.0031.05,tree.0031.06,tree.0031.07,tree.0031.08,tree.0031.09,tree.0031.10,tree.0032.01,tree.0032.02,tree.0032.03,tree.0032.04,tree.0032.05,tree.0032.06,tree.0032.07,tree.0032.08,tree.0032.09,tree.0032.10,tree.0033.01,tree.0033.02,tree.0033.03,tree.0033.04,tree.0033.05,tree.0033.06,tree.0033.07,tree.0033.08,tree.0033.09,tree.0033.10,tree.0034.01,tree.0034.02,tree.0034.03,tree.0034.04,tree.0034.05,tree.0034.06,tree.0034.07,tree.0034.08,tree.0034.09,tree.0034.10,tree.0035.01,tree.0035.02,tree.0035.03,tree.0035.04,tree.0035.05,tree.0035.06,tree.0035.07,tree.0035.08,tree.0035.09,tree.0035.10,tree.0036.01,tree.0036.02,tree.0036.03,tree.0036.04,tree.0036.05,tree.0036.06,tree.0036.07,tree.0036.08,tree.0036.09,tree.0036.10,tree.0037.01,tree.0037.02,tree.0037.03,tree.0037.04,tree.0037.05,tree.0037.06,tree.0037.07,tree.0037.08,tree.0037.09,tree.0037.10
775.178075802,638.009107418,635.733508362,613.708604542,691.216518764,602.083354682,752.116900911,676.865974131,767.880859424,667.634343886,532.865067336,633.664206601,613.028789504,712.253183071,645.654159149,585.483666908,605.372524514,491.678540906,567.802700816,568.096754003,759.585313537,725.551850972,659.027714106,721.386532563,688.3102159,725.240315611,684.008605774,761.475934635,737.315574458,702.053464253,600.198493852,573.191591363,665.734485177,526.747621554,651.777717161,646.595952193,689.268533053,599.337124945,625.912325464,683.129784085,671.889744177,691.044666985,767.11899151,624.295053251,552.250219985,581.233691861,670.388478318,634.001360208,644.537005597,604.92882939,714.354818631,669.721068293,675.821253419,642.553164446,599.30320286,696.955290714,722.67309572,626.283567814,620.953937603,714.591651984,597.111917527,644.327136282,603.731951811,682.525904872,659.025220212,643.317022016,728.82902452,655.635926324,670.908034821,688.08108538,767.768148453,812.496635867,813.123740062,796.660968021,812.116175982,829.88424008,747.157722082,650.606156441,843.25405859,752.491496492,659.586328027,514.070072586,708.973071572,638.832401472,595.576530503,651.205046579,629.652601348,589.329713433,682.415807788,628.232032207,746.598880799,911.644917107,808.152758989,617.089758854,653.577673329,615.387843679,643.135206255,671.78386464,816.193566729,713.614562545,782.839896268,857.876336935,723.352448651,776.524326798,877.578625558,769.755667026,808.15656054,865.27343691,839.675658859,708.907552699,673.496211014,514.465277688,605.348550252,584.425971975,542.140571869,635.182798845,583.037465652,678.877133978,525.342550751,575.633891079,882.503634858,699.140480719,707.397547646,737.989687769,598.647293827,813.636535219,785.57875158,713.34947241,780.376047091,673.282215098,627.1178213,746.182072827,637.892536138,669.099633154,696.436428105,691.987257053,560.139235312,634.523958187,610.822186506,740.020621137,678.963411504,617.963279228,793.665781747,683.741294995,686.511022583,661.853767118,626.243292932,665.981393878,594.627877586,674.492725594,652.040925954,657.202807519,736.581511726,724.711726878,738.795966524,699.852403083,683.190313358,686.516600904,665.753109677,664.278661905,506.287855577,547.875265167,629.242841184,466.486555851,536.281291317,578.129224517,497.463431687,489.837651109,527.965820739,558.983391492,762.91821257,778.738325363,783.7197028,767.842523371,687.93817557,742.746022617,766.956591401,808.325543175,800.840398883,744.132651641,648.622611917,573.913900155,627.878203572,650.916746586,638.267211201,590.874193399,564.367799139,508.274107377,520.653964743,605.188299247
0,720.761570008,599.939786975,579.084164842,648.247761351,572.171052982,700.734059561,635.579036789,738.598553775,633.898670302,505.788564255,612.183136379,579.257721334,678.676171519,609.991273451,549.796049211,576.405907373,465.891742134,538.732558096,543.285852871,723.130753513,682.786758636,626.07814869,697.516120194,643.005837939,690.018182317,642.197525167,720.593166759,691.032473695,664.185862811,574.934723519,552.306692817,646.612896828,494.750737833,613.349169208,611.052130749,659.480878531,572.048916448,588.681640915,651.921576129,641.558706221,658.680593723,729.798112631,591.692861468,521.222756187,560.457623813,635.821967838,599.648642378,617.491334035,569.368883617,670.354954301,647.943731039,646.101038509,612.634709871,578.573457527,664.202157476,684.769828644,599.437014867,584.069390974,682.582908143,566.483483188,603.945970755,578.578868198,650.444518667,618.522256948,619.420286485,686.143679929,629.630147597,634.169108628,652.611420354,722.269480822,774.682904771,764.836907436,763.060505014,757.264095136,772.151668223,693.714004416,617.483148176,783.986476393,703.859073391,636.333749825,488.91619187,673.72107864,610.415842829,567.881577283,620.320619993,591.021031266,562.640049483,645.031535888,600.478665494,713.427322969,864.803014058,773.161470625,588.817156963,603.572845022,582.582477451,616.117497487,634.830145601,771.681909052,664.412386357,733.061456302,804.240309414,680.049532187,738.363923205,832.463068046,720.615165295,775.498073972,820.518274723,790.406988709,667.482793157,637.025774124,493.716342379,565.203959659,560.25900098,513.037489716,605.600620078,545.189933485,650.897284616,500.324981871,549.244197407,835.692709118,668.043901873,666.61623274,687.870701188,559.22736554,760.911094067,738.029927498,671.919825485,752.030035498,641.044228677,593.383714706,706.113199178,615.30411645,614.966758943,655.869390263,647.759949106,530.120904253,594.920662546,591.636110842,691.644945671,643.248780428,586.552169585,749.009817485,635.498785114,653.454847483,626.284663209,594.762142753,632.061894848,569.024493701,638.238368697,612.577105337,629.416675661,692.879500086,685.136683408,695.861817896,674.862771227,640.768631393,641.398962835,626.74873444,626.838521335,480.764917782,521.329852158,595.453249709,435.745581776,504.366749581,553.046284861,475.259221269,466.647144067,500.231021576,525.954091651,718.662934669,731.01600348,727.989034102,720.398401254,653.688941066,703.156589166,712.174625288,759.475790084,747.439894185,709.89402547,613.326705252,551.084871677,592.096880413,612.66853909,617.047844399,561.301929104,527.522236705,485.749236568,488.268018685,573.833694752
0,0,750.785420281,594.742727367,663.544343479,600.08254964,726.062865698,654.00125592,727.819009816,647.702661268,531.013951721,605.933862054,599.628840758,698.8736284,616.726379961,563.586632078,592.525718248,488.153659604,550.662503662,562.355989094,747.815911508,716.647347176,646.520645491,682.636480942,685.670590824,714.491857211,660.847361382,740.358623428,709.007390103,683.93532005,574.708214517,556.475485897,652.764292507,512.611126261,634.763649083,629.408785097,667.630997308,586.240796906,593.178749674,672.980789511,647.154133158,686.120643718,731.491201497,606.203719843,543.165954887,568.496623333,653.812275356,622.670573391,628.419075755,598.040097222,695.940098281,658.705047135,684.455111219,634.662092119,605.503625625,672.745955042,709.078096675,610.745047818,595.870515747,701.226771672,574.950760943,629.621277196,592.934075437,652.011416192,634.445338023,622.677378464,719.468858841,632.940101267,661.476751835,680.335705622,750.311031846,790.285503103,789.257541846,780.952786761,781.572346954,811.705788799,719.230290395,631.070830279,821.691305404,714.890703334,627.259727353,510.811672089,705.923861421,642.511793205,585.980093207,622.277716488,609.006481217,586.561263184,650.132426477,611.229553782,733.160707192,867.913889805,784.528481549,607.423664829,628.451010444,637.789139238,627.161523252,650.23174544,814.41485562,713.602503312,719.811839453,842.422246435,701.092285205,766.831423,832.684150094,743.482611693,789.043503735,840.796473618,800.344253666,682.959922581,655.908757301,512.855077315,602.15421427,564.615662059,532.874981055,631.639374078,562.017985327,646.11089692,521.291586374,573.163336062,859.973776516,699.724706373,684.206085186,714.852924988,564.683087886,797.463325788,745.179454738,693.762261361,756.160736635,661.968515983,627.892327965,737.778160113,616.851071453,652.704078352,689.160116558,672.41819101,553.292135412,618.644449406,590.205336462,716.646319517,673.101173037,616.822740526,772.11388219,661.654854714,675.663552166,664.114658808,608.30679191,654.301298706,569.500684724,658.300000449,649.087555796,643.161603268,711.600024973,704.395058159,729.699693275,676.775875849,657.312423869,671.852917117,650.910259426,654.121626995,501.443701003,539.553922985,627.703653091,459.759160084,533.90461847,576.540124843,498.378991561,478.533593682,521.343536554,542.664994339,729.86932422,746.177516403,763.768753721,725.409018153,667.79977288,728.998560057,742.386479184,771.337429311,776.84335925,719.333042674,651.603030738,551.914720858,626.114224591,622.776591063,642.772248896,576.348255999,564.216459048,509.744488197,508.422106967,591.073662463
0,0,0,683.266858012,635.666504918,557.905650338,683.845974021,619.470446551,697.980563402,620.969218685,497.531419583,577.596211617,568.376071427,657.365375956,592.661014151,542.053464369,571.159896712,466.427899764,526.393825008,530.628326572,700.435452525,675.496683582,616.261394649,655.32880816,630.454160759,667.497469693,623.934020706,701.210375723,670.969210193,646.446093677,546.108109693,538.861121957,613.128332665,492.988731168,611.890275611,614.246237108,641.198896857,550.447405967,575.296990848,632.116246148,618.615543848,644.833822152,700.845543076,580.937698519,516.746128772,550.435880181,610.832146581,597.758535686,606.915382316,563.434388692,652.762617654,616.678415619,621.864844125,594.650442862,569.659863351,635.782950639,666.10045089,573.56927309,560.155651931,671.622121552,542.195274336,596.823019579,556.543627318,634.001215101,602.094375102,591.537829876,667.586275928,601.896203846,620.13346359,641.629535394,706.429777894,743.482459288,744.374051092,735.281775455,739.375286203,754.88563314,674.222160652,596.920330226,770.027305153,669.711139883,611.165829279,478.415250585,660.139827677,598.912848094,558.122404282,594.307539915,576.406422631,534.826969159,628.92477213,567.35601558,682.047475752,812.579954853,739.969977751,578.308287734,593.856786028,590.870922924,593.928145888,625.363200902,761.782726962,667.977942524,693.318487222,789.597891769,661.943358444,717.116161058,784.898209089,700.724974149,745.534959607,784.712847639,751.014625716,651.067908192,620.690107961,484.161870929,569.619463254,537.466697849,499.336769341,591.771139225,540.199963381,619.674436503,497.348048098,553.661380697,800.018138146,663.983449714,647.591750027,665.592159312,538.83310119,748.452978615,717.205475133,652.084706419,721.128527131,623.744270842,578.348353925,685.049023988,589.065611505,621.127483884,637.854475877,641.22748768,521.694157271,592.242002221,554.241577464,666.964500934,648.102604258,582.696111032,729.832092235,629.711175415,634.449268016,623.9732059,585.028287131,619.193835112,544.429452293,618.824314821,611.845323353,606.394024692,672.174150466,673.229276194,672.604535245,635.869841607,623.950836398,634.982200727,614.966735027,614.607711706,472.461044039,506.029049093,592.638675711,446.182715557,499.995183614,538.796224122,480.53542993,463.868486503,503.260550465,510.150357971,709.766944289,710.871846855,718.081188132,698.532815634,637.276718773,678.254570871,694.148081452,724.170765714,726.831590774,676.138634886,595.799482344,518.72434496,585.427416229,597.218476012,595.407392724,547.211167533,529.943310079,480.121973914,483.901141902,562.753742758
0,0,0,0,816.479590841,630.408626979,763.63939439,705.408822464,801.906265885,684.643805947,557.395804859,661.428385664,643.609442219,747.826179752,669.477092905,608.197311116,634.632018505,515.643229775,594.473667723,585.29975461,804.986748849,752.872936779,684.02762475,744.922244908,712.662231393,748.496886077,702.050849253,784.017405216,755.607231118,723.798610374,621.200854879,597.995875536,705.16373291,548.888612469,674.016389104,686.007370675,717.816313071,618.237825037,643.261100419,700.208226828,702.379568147,734.491105976,790.692958457,637.596606528,571.971318084,607.51386491,689.869914249,667.796742255,669.313736971,623.531453508,741.603913493,697.107091601,712.08161617,671.379726735,640.826525745,715.543730182,755.559994921,651.402896491,643.75149365,747.624562367,623.705327269,671.805151643,633.839445244,716.774389283,684.665055826,669.592690673,753.914571762,684.12365222,700.544891982,725.280522002,781.929189854,835.822264997,844.89793872,826.459472742,825.235999808,865.164147939,767.83278556,677.839870323,871.925649895,768.71936115,687.166398415,540.254660519,741.685007702,676.065459072,625.144827736,678.178507252,657.356726852,608.495105425,705.659861148,654.329334385,772.581324236,935.074003477,823.808761557,637.970467331,671.567128171,656.600130439,660.278573212,702.162616375,855.500719616,754.595110307,781.870105092,888.956085529,739.921847081,801.298617247,890.576108268,795.032434017,824.993413824,892.90962018,850.932516086,720.066978058,701.680331217,542.372244575,633.577303108,611.649402308,564.451627241,667.941587346,602.966082503,710.920506391,552.257503525,602.389229181,917.589085135,727.782223303,735.01362595,755.028645658,618.198766123,830.048892245,796.066679273,726.277214715,808.795060975,701.139288026,652.092618674,771.504252458,662.884130046,693.031408681,720.139713866,711.727988095,585.638408183,664.523456738,629.408554997,765.242044223,715.285702689,654.835187851,825.147554531,706.983498925,725.528632397,694.120732757,650.517484987,696.729970177,620.239103689,709.772701633,684.155871279,679.988656444,766.626052157,743.925987572,766.75933114,726.8259749,706.563631423,705.384322259,699.709134653,690.017161552,526.154429433,573.365950352,663.979324222,494.226837677,561.930215467,610.180337322,526.82581923,510.157989218,558.242244185,585.965160645,785.947720403,799.873305397,806.353924851,786.306535604,710.299215341,765.533988784,785.991829279,820.811593043,835.408704061,767.275721542,685.905375556,598.070129373,668.582389586,673.873921364,672.025643252,622.52287759,590.379405739,539.631211404,543.563308172,628.185922647
0,0,0,0,0,690.745095008,685.365725434,638.350857389,692.567049513,609.546279502,504.118033634,590.047344201,581.819820502,664.967208407,593.223357712,551.320968314,566.920485589,459.958864733,533.795899071,549.195045059,724.89942572,677.672767708,619.746185881,650.688903546,652.635385528,692.201761581,632.640873141,706.52390885,677.921123464,651.152454021,535.553119069,523.98959003,629.15330928,499.777128786,594.996959072,597.502047842,630.274788719,536.212941611,566.11253777,626.348602868,622.380684042,649.488662143,701.976269112,573.948717426,509.262708025,536.368940623,609.52201223,597.505503939,611.02291872,576.516022531,662.896736798,634.447888608,656.188193809,613.107619651,576.430445031,637.023634427,681.28024331,583.23694224,572.857398508,660.862639839,563.863064157,612.993275396,557.66230106,627.65342557,611.031931642,595.032851032,678.60511441,602.745541239,617.960086127,648.060224878,720.826275078,739.70768141,769.555314623,734.313724716,748.858383804,776.491528235,692.068560248,610.322322378,788.330646161,684.292558576,610.768328537,480.952794567,670.205191147,603.168292355,553.035917782,607.573720249,587.283831996,550.602092085,616.931316287,576.976559842,682.688911011,843.611278972,733.522241638,579.241761606,600.181238825,599.156997887,594.878789778,617.889093734,765.256224784,674.667235202,699.270631237,809.745052458,668.401157479,720.965871499,791.988827169,714.749604288,749.351132189,809.527771287,754.776874697,657.403795012,617.03946108,490.16839604,573.354880092,543.087067015,516.787564313,589.009346625,534.127441748,620.941059654,511.078140533,558.982541376,821.323929757,669.555112126,662.226576659,686.276070865,538.8791737,771.157469353,696.351947701,656.899185715,739.111387937,640.466907999,596.985677555,690.143429083,591.938427847,601.543751347,662.109735775,628.85874109,527.473148109,580.946231313,559.582835642,669.079100649,631.662892571,584.468370122,732.55185679,634.965886927,636.154312979,619.014594669,578.810546648,617.299429018,552.996189202,634.85271661,609.551046897,598.783928114,700.586423905,659.994317376,698.758296033,652.55669826,635.408921519,638.618678317,622.143369129,620.674778224,468.271094929,522.124760231,582.617691342,455.002735074,504.014089771,551.321143757,471.959376985,459.088869878,488.788518226,521.458689927,704.41695039,715.912073215,736.106132547,693.419471619,638.564907629,693.643794884,712.6365197,734.420016157,752.780811472,671.458333904,621.368376778,535.69005343,594.410890675,601.803895244,607.461379203,541.680098615,540.945160665,487.74161778,482.868928808,554.172012075
0,0,0,0,0,0,974.218287388,747.107174115,851.546298796,761.722367067,596.130980055,716.547025196,680.060277888,805.191733294,708.669860826,651.530839443,677.439145745,558.092234493,639.589552164,652.426778048,881.027995181,816.42283184,732.088208035,814.493811774,768.718534445,831.533251286,769.666854598,870.282632011,819.897584485,804.883322678,661.248183745,626.506257033,742.23037615,588.458032885,724.660575759,714.408048118,781.29770754,654.731910144,693.72160221,764.519084426,756.072041296,793.259930021,861.326425791,706.692355349,606.037184558,655.966446154,752.787905621,707.094175564,721.845653468,684.269475678,804.102572801,760.773423598,782.183843152,738.574355108,678.023732796,791.780609333,829.56992062,685.584836262,692.044796362,814.673366934,657.467768861,711.383336298,675.407718441,753.588607693,729.7009325,730.080897596,828.988253172,715.605617473,750.744279041,798.781691067,863.596647942,936.988952758,932.118653227,880.169717285,920.656504753,935.091740128,839.854902513,726.025507172,960.313896897,845.507987341,739.434853097,567.692738143,793.896418118,721.914709766,658.327390733,726.80134146,704.495617242,671.58326602,769.66736726,706.023462373,850.152597632,1039.87789589,909.982061305,712.931871483,717.686396595,712.366127623,728.252791508,744.589347191,929.188463293,805.635749358,870.338257694,988.522411455,817.646620063,902.710830052,982.553557537,857.309573629,939.045189035,982.636702119,944.260224517,784.475121269,743.259222217,571.566999322,664.081566357,649.398882199,616.68220768,721.719344904,660.546171093,752.162272433,585.510181609,660.369544834,1000.45787383,811.237281136,766.979664499,827.817688638,668.953892168,929.662186897,877.802661572,818.475399367,893.711394006,761.51001585,711.099206566,830.810900094,715.102319691,742.70611413,788.602270595,771.483714061,631.451385295,701.13494459,680.616460911,825.724003769,771.459458326,699.657350202,892.982409553,767.996768005,779.632357555,748.943100009,702.321780256,756.697393757,659.845659155,737.392930254,727.968685556,737.270568783,833.030689515,796.558762299,840.651409649,786.301960024,767.379473699,771.536037746,734.674172683,745.145587697,576.338744574,614.448809132,701.917601061,522.857231342,606.02976115,637.575767604,552.81076048,532.623289234,597.361424859,618.681001398,858.381205401,872.83822854,901.304201125,860.776347765,797.21575891,839.889029296,875.210115693,899.985051315,904.321020491,826.990032498,736.106727233,659.220517984,695.235256943,716.329862686,722.622728173,658.945344134,635.938012602,580.383692866,557.100083648,689.751603497
0,0,0,0,0,0,0,810.730247758,776.700204531,681.3639821,546.622340634,648.489318857,637.615014127,728.044822291,658.145153062,609.705817506,623.94252724,508.421656153,584.408359302,591.330421175,797.039073978,742.341062594,679.292093503,713.560949297,712.989915172,747.255279895,699.090673762,776.765090981,747.246817386,711.781667019,607.443310254,590.914623575,689.156320217,541.836751746,669.92080552,668.102523293,701.742610572,601.936891443,634.86564949,689.27557008,693.540831347,724.200595565,765.366728264,633.031796004,563.893613095,596.009571816,672.523738073,651.299458616,665.679375253,617.551829105,731.76425997,692.269629526,715.297748225,662.991979006,633.701897467,697.578145966,747.01207975,646.179797294,637.196056181,734.761933172,619.907962196,668.460283452,615.016374715,704.084153934,671.858749915,653.890774665,737.777232841,673.427726701,696.293691756,712.120927269,775.4376996,818.436481212,824.307134931,812.113213713,820.144863837,850.744950509,762.478188476,666.071129101,871.359595832,760.991828452,663.499684866,533.196868143,738.183274484,670.007705003,619.649075436,659.30398424,640.750218925,601.298945198,680.860243167,640.104791571,746.725010978,917.143698143,802.091967328,626.917967113,669.863940571,646.032012526,652.545025814,685.205723781,840.315632892,735.593835536,762.8640035,874.716958538,726.159508907,778.389749308,864.613599909,785.686378581,803.604757181,877.956013257,835.015901386,719.775175795,688.879754094,536.150312659,638.147349509,594.883894563,565.919075108,648.479132124,592.701023145,692.607073053,552.916064516,588.901299065,892.713264924,727.526943024,730.953317598,758.472079399,601.746500727,833.994450186,779.522250158,719.812793307,804.828925573,693.757225681,650.852987245,763.681407684,641.07911339,673.939192449,725.738730978,695.378753618,575.350232857,655.27635971,619.987900763,750.343993153,692.515650479,644.039799158,821.94764824,697.997357315,698.718729077,688.729206173,638.257884912,671.630282744,605.613335791,703.796450208,670.689886302,659.780709128,766.71187493,746.564493188,757.953959737,713.121969084,699.878819052,707.151041192,692.02974038,684.983897797,517.809877347,567.852164796,647.801063575,505.584717291,549.580775125,606.118050709,510.627697404,503.45273291,532.280507628,574.0654182,786.001243765,792.434444966,794.631357395,760.75439358,708.113819155,757.446325847,773.476764777,808.128825479,821.731429158,752.909526816,679.533571432,588.748001407,655.449509618,677.27668599,661.331867173,606.931709115,594.439437713,528.68461014,535.975679682,616.000380087
0,0,0,0,0,0,0,0,1027.20524785,757.489799751,610.752490992,740.556038827,721.543566029,828.846677399,754.741778412,681.456528656,717.154238837,574.024337215,652.977291043,661.436854747,890.615250204,830.344055881,769.142379892,841.259187763,787.986366495,838.903109657,781.688598832,871.897077358,853.885263482,791.998573187,692.544957859,666.40226686,801.667768823,608.235237965,754.761542752,757.44985247,807.297395165,682.793051223,724.612029321,770.555406436,763.094895069,809.226403891,884.901555252,710.621212792,621.687209065,673.101751582,772.535985722,748.28302753,748.549720671,691.725489368,815.681908464,765.180100727,792.745559018,746.471484489,694.288581188,813.081051147,836.630341749,722.234927456,715.442062866,832.949990011,703.958371115,744.740100831,698.314087295,797.801669742,755.640931528,744.772839616,833.699768527,772.019676014,789.864141149,803.663557146,874.333642074,924.881227759,944.867277983,941.858705486,922.79824368,949.309541817,870.126645089,754.958949419,978.05736823,873.402310918,767.889122104,594.407589251,820.731663932,736.206497258,706.185444752,772.507160981,719.642170466,670.603492212,784.107759638,733.266919607,868.871853635,1055.54489927,933.93471148,713.188416672,743.328023867,711.283786516,743.708484796,785.856134108,947.836899969,822.593601127,896.278448809,983.802313848,818.311013979,892.491157739,1019.6165931,891.096421963,924.476170187,1019.75071971,962.030381129,810.495126899,776.176217863,591.634183288,685.821229662,678.457594923,629.457530533,730.128856598,667.964898757,805.895342592,602.483255175,663.898647016,1030.98156792,796.20220417,834.687513945,854.055005883,681.492707439,916.87278051,893.950563103,802.513367276,908.651364685,782.972453472,719.823083445,861.563585364,741.352949856,741.877941412,797.542563157,799.379843882,643.915489198,741.139156665,701.441394759,859.311838436,797.695139361,719.399675563,914.567880241,774.880424653,800.752759326,759.633513945,722.702517977,767.085367842,689.947452093,805.760325972,767.308291649,764.766121887,853.708037203,835.889111739,859.905020587,828.628217882,788.052084122,778.251529899,779.808198136,766.40789576,571.700489057,634.381622273,737.278590782,534.917384387,614.124097886,685.19401949,573.230277718,550.172622604,601.356257989,631.611577777,880.574665741,903.264841065,888.174842799,867.731419079,790.27670132,851.822138458,866.523751765,933.762189913,923.869114198,865.522718057,750.970593618,672.507738974,737.844030805,740.183920695,740.308555607,695.658060853,636.690728899,600.551054974,600.334357164,697.560342394
0,0,0,0,0,0,0,0,0,793.827090636,545.580834483,639.794198788,606.012065773,718.872836381,646.050111953,600.479263374,605.456379329,502.920352524,574.79534139,583.017104792,783.819217971,731.610073888,671.033002821,734.659572487,695.91126896,752.304165517,684.593900119,791.53561286,725.711108981,729.526167418,596.518254314,573.433666436,667.963446883,539.707006861,657.874272823,653.757711026,708.566606819,598.149773826,630.292879322,689.652514934,692.505926679,709.971796298,765.984661701,633.173666244,559.651614766,591.922210864,673.935162925,645.396887622,658.705380868,619.313416729,734.679482161,692.889225235,697.356224026,655.844731769,620.594584919,706.511880698,738.566659046,621.120276794,624.637621156,729.51018628,592.497687181,641.722287457,611.666204579,681.000983406,657.690219404,661.44298858,737.614267753,653.44704095,681.133574445,720.549973262,774.280130443,837.636958523,829.344862305,798.358571166,827.967016051,836.817696919,756.484015623,659.210233174,845.900379934,755.185756401,653.566703854,517.696766485,716.029411122,653.600096023,605.437277353,649.360342266,639.603128308,600.246019876,689.549823771,630.231447427,756.585028042,915.772778603,824.714045597,645.441217213,651.562221519,646.939816705,656.407416432,671.474628365,840.304237092,720.358981703,773.473431066,893.726926604,739.53540424,806.117096704,870.190063786,776.931369253,838.194644603,866.722566907,836.351271762,715.833115965,672.289566512,525.008835337,611.349449377,594.79221348,558.73822908,656.498039663,597.316019741,675.218997969,540.23945271,596.023713072,887.922772595,729.992807295,702.250359654,738.82608172,598.112431361,830.64325229,791.357721265,732.473549272,801.469417226,689.969828399,638.39005417,753.139209787,633.232107167,676.098955361,710.229944004,699.552484164,579.781380769,644.222368601,617.167817912,739.172382819,690.700011559,638.983848161,802.283543263,695.045591023,699.874761432,679.990877575,636.759520082,683.498921159,601.419245307,660.509205076,653.714573707,658.836645103,753.112987668,723.570415632,750.377008398,698.061101248,696.699557605,694.164616994,668.440415029,675.124141293,515.614832608,548.630351527,643.465921676,486.727941266,550.349477802,583.734706645,503.553578442,482.419373989,551.190594859,555.808450386,777.460905029,781.244507182,806.26992728,779.924333014,717.740278479,747.293024542,784.336846361,802.173851727,805.665175061,755.854364509,653.763595556,588.419764138,630.240224541,652.117687305,657.355262008,587.722975942,580.555021418,518.466485994,504.192211594,623.870303694
