tree.0001.01,tree.0001.02,tree.0001.03,tree.0001.04,tree.0001.05,tree.0001.06,tree.0001.07,tree.0001.08,tree.0001.09,tree.0001.10,tree.0020.01,tree.0020.02,tree.0020.03,tree.0020.04,tree.0020.05,tree.0020.06,tree.0020.07,tree.0020.08,tree.0020.09,tree.0020.10,tree.0021.01,tree.0021.02,tree.0021.03,tree.0021.04,tree.0021.05,tree.0021.06,tree.0021.07,tree.0021.08,tree.0021.09,tree.0021.10,tree.0022.01,tree.0022.02,tree.0022.03,tree.0022.04,tree.0022.05,tree.0022.06,tree.0022.07,tree.0022.08,tree.0022.09,tree.0022.10,tree.0023.01,tree.0023.02,tree.0023.03,tree.0023.04,tree.0023.05,tree.0023.06,tree.0023.07,tree.0023.08,tree.0023.09,tree.0023.10,tree.0024.01,tree.0024.02,tree.0024.03,tree.0024.04,tree.0024.05,tree.0024.06,tree.0024.07,tree.0024.08,tree.0024.09,tree.0024.10,tree.0025.01,tree.0025.02,tree.0025.03,tree.0025.04,tree.0025.05,tree.0025.06,tree.0025.07,tree.0025.08,tree.0025.09,tree.0025.10,tree.0026.01,tree.0026.02,tree.0026.03,tree.0026.04,tree.0026.05,tree.0026.06,tree.0026.07,tree.0026.08,tree.0026.09,tree.0026.10,tree.0027.01,tree.0027.02,tree.0027.03,tree.0027.04,tree.0027.05,tree.0027.06,tree.0027.07,tree.0027.08,tree.0027.09,tree.0027.10,tree.0028.01,tree.0028.02,tree.0028.03,tree.0028.04,tree.0028.05,tree.0028.06,tree.0028.07,tree.0028.08,tree.0028.09,tree.0028.10,tree.0029.01,tree.0029.02,tree.0029.03,tree.0029.04,tree.0029.05,tree.0029.06,tree.0029.07,tree.0029.08,tree.0029.09,tree.0029.10,tree.0030.01,tree.0030.02,tree.0030.03,tree.0030.04,tree.0030.05,tree.0030.06,tree.0030.07,tree.0030.08,tree.0030.09,tree.0030.10,tree.0031.01,tree.0031.02,tree.0031.03,tree.0031.04,tree.0031.05,tree.0031.06,tree.0031.07,tree.0031.08,tree.0031.09,tree.0031.10,tree.0032.01,tree.0032.02,tree.0032.03,tree.0032.04,tree.0032.05,tree.0032.06,tree.0032.07,tree.0032.08,tree.0032.09,tree.0032.10,tree.0033.01,tree.0033.02,tree.0033.03,tree.0033.04,tree.0033.05,tree.0033.06,tree.0033.07,tree.0033.08,tree.0033.09,tree.0033.10,tree.0034.01,tree.0034.02,tree.0034.03,tree.0034.04,tree.0034.05,tree.0034.06,tree.0034.07,tree.0034.08,tree.0034.09,tree.0034.10,tree.0035.01,tree.0035.02,tree.0035.03,tree.0035.04,tree.0035.05,tree.0035.06,tree.0035.07,tree.0035.08,tree.0035.09,tree.0035.10,tree.0036.01,tree.0036.02,tree.0036.03,tree.0036.04,tree.0036.05,tree.0036.06,tree.0036.07,tree.0036.08,tree.0036.09,tree.0036.10,tree.0037.01,tree.0037.02,tree.0037.03,tree.0037.04,tree.0037.05,tree.0037.06,tree.0037.07,tree.0037.08,tree.0037.09,tree.0037.10
752.034629592,615.053243381,610.923855498,589.74523968,664.226159903,581.236299367,724.948316149,653.667156963,743.002932021,643.568836586,510.868340816,611.351517052,589.255514701,687.071036878,616.2766995,559.454421075,580.143161955,466.364436559,543.139735026,546.206725617,733.079767341,697.320367058,633.102163715,693.921713339,659.257401085,697.171092142,659.517189639,734.449854847,706.547411873,673.323589182,573.461369989,548.363620982,640.539854583,504.685539237,623.380316863,619.625810869,662.091433746,576.343170812,597.684938283,660.873239259,646.321415614,662.9756306,741.293458134,599.952166391,530.611401571,561.82591254,644.287966349,607.575249555,620.40193483,580.920273681,687.275480587,642.649638863,650.917286727,619.863318033,574.614385634,670.57891945,694.823067152,602.211966492,598.745814744,689.632645578,569.665262675,619.41359742,580.056721743,654.126126557,631.991423338,620.21999524,703.470920948,629.393174774,646.274349886,665.609695447,740.3189259,786.089393285,783.089934292,766.88203653,783.187077365,798.928599278,720.243100149,625.374135301,816.158844472,723.962754558,633.754292215,492.834572598,681.112105958,614.467451024,568.639635526,630.005871256,601.795233717,568.37622,656.15582387,604.668124516,719.787741223,881.625797743,779.251727685,592.632242176,631.470118435,593.484344147,619.863598321,644.027795649,786.715006471,686.585734774,756.801884342,829.518905815,699.202757517,753.497477577,849.673850235,740.501941485,780.638447553,836.153060463,812.736674403,678.9679484,645.534915651,490.459800607,579.873669472,559.383917178,520.560134336,606.980137897,557.908949448,653.491056773,504.123966729,551.493918204,856.480947056,676.076026713,682.158130701,708.458136835,573.226722862,784.766995695,758.8341968,688.886214088,755.391573658,649.951473325,602.060526702,717.963039826,614.996904575,644.167392642,669.608099902,665.594866576,539.33045977,612.166844637,581.555044227,713.013573045,653.983262779,593.968421649,763.022649704,657.295869388,660.255631403,634.80251475,601.848362722,640.742744383,574.125613067,649.566131927,626.996144952,631.299642971,713.335874982,697.555679727,714.751718229,675.577251372,657.564739737,660.825969619,638.362306322,641.505345726,483.834821859,523.587453399,602.555446763,444.644775947,508.435629117,555.021783909,472.956184314,469.101695727,503.722204477,534.686878094,734.95250079,755.061223285,754.128708071,738.738496907,665.51356789,717.215791917,742.430723315,781.328927304,772.398027111,718.553425328,622.247060979,551.866943503,598.106761625,625.9683304,612.257513577,567.122992067,542.064887424,486.607416878,497.615328588,580.578205482
0,697.158738509,576.946309881,556.988676177,624.858761101,552.777426284,677.029669498,612.495290435,716.269306159,611.278174585,484.878731701,588.781163077,556.419266923,654.577565246,583.950477317,526.970839908,554.217423171,443.972942239,515.593051801,520.416258062,698.451011211,653.845350104,603.17589967,669.854872958,616.329114252,663.414569622,619.986033285,695.12320196,663.89486065,638.393705282,551.2952051,528.396120004,621.679530753,475.605764237,587.42058863,586.849383328,632.059030569,550.312702397,565.2940458,629.373024782,617.15391931,633.574540742,705.873212023,570.309861828,497.589478254,540.87693575,611.09543977,574.456520239,592.423174159,545.825960196,645.498489852,622.17020874,621.370480261,589.902934406,554.778316671,639.559481102,659.861793159,574.896779052,564.087954751,658.265617394,543.506342515,580.371708,556.534790761,623.169413661,594.575766888,594.227317199,661.919261602,604.436351575,610.631354463,629.923937296,697.017971861,747.740913883,735.697532541,732.439499002,731.125704948,744.280385483,669.416820015,593.492132832,756.749887807,676.732778059,614.104074011,467.052273687,647.592363571,587.255013425,543.510289327,599.118850031,567.215996208,542.080881569,620.734534122,577.961441717,688.892798223,838.436038356,746.911314614,566.539327121,581.145485823,562.846457218,592.903106422,609.661813955,742.808841688,641.013665225,709.549565838,776.721162305,656.531492838,715.27431,806.417208841,695.521802196,750.156055286,792.426151016,765.206581393,639.649281821,612.319189487,469.784332989,541.134274864,537.909950713,493.322047063,579.799845514,524.422807295,627.153654444,476.653176576,525.613842669,810.670401351,645.877308337,640.259095956,658.866916669,536.692769405,733.271765322,711.80116902,648.78621736,728.346954216,617.155498498,568.862359971,679.405357165,593.120117527,592.24094028,632.341479055,624.782978134,511.574316939,574.192137342,566.334851142,666.501856698,618.653814241,563.076507072,723.355341825,609.443936557,628.007852715,598.952019396,573.255574578,609.600541813,548.439593657,614.4963798,587.577699118,604.587603391,668.666104361,657.965649206,671.352148128,651.684070794,617.045441696,617.892346733,600.328269629,603.158391442,461.215101773,497.925831074,570.55867233,415.642917025,481.106515713,530.846756705,452.428073271,444.914704479,479.107628733,503.115042758,693.534545499,706.905006133,701.486152779,695.085623093,630.612444423,679.476314387,688.115327196,734.080342228,719.738948526,685.162335705,590.304031635,528.757768241,567.728478101,590.425242512,591.460256605,540.971813921,503.457377191,465.877591025,465.790606035,550.324610246
0,0,724.713060556,570.236488773,639.325575702,579.300500634,696.675896134,629.475920462,703.201244664,622.673338361,508.584187519,582.316274105,574.258999787,671.549389858,589.524862066,536.640048083,567.869939171,463.608377739,525.849411146,540.178311359,719.43641147,687.907063306,620.413811471,653.952315858,656.529942867,688.342827527,634.346843838,711.997206028,679.381579366,654.414833906,551.621079416,532.178490052,626.497043673,488.098089784,606.288165205,601.380504165,638.885732468,561.695841784,565.244843311,648.035973785,622.77393501,659.771218436,705.716216435,583.259893613,520.181940384,545.311007321,624.670728218,596.875247167,602.471982863,573.711268259,666.95850992,630.136342624,658.07875627,608.763429502,578.289376633,646.275152194,681.504717553,585.48565986,570.876050615,675.093280418,549.723509248,605.353125833,565.995250188,626.319431108,606.904717706,595.19752731,691.265996926,607.117311308,635.016291179,654.963813272,720.650169722,760.663852841,758.160301715,752.121066302,752.946244278,781.467744601,692.272269871,605.087817782,791.84297386,686.936972046,601.125324178,487.169834116,678.403457928,616.650717929,558.330369147,598.231113074,579.208145677,563.668478151,623.198822684,585.269691489,703.904341255,840.789376772,755.496811312,583.643802279,606.732646611,614.707624751,603.537670646,623.736555025,783.780991181,684.592345706,694.64736188,815.496879619,675.384262677,742.269041766,802.234516855,713.729049847,762.245842816,811.01502775,772.100361913,655.697772767,624.630444223,489.895067468,576.370874956,541.359341665,509.921979131,602.576728845,537.691962317,622.649070611,497.169581836,544.309674667,831.084018553,677.196620269,658.757135927,685.223738431,540.151471632,769.319224051,713.469058246,669.613259501,729.319813459,636.159101307,603.246857241,708.98558273,592.266729535,627.525594273,664.361310345,646.567787779,531.099757106,593.273170613,567.267326683,687.339914991,646.340325547,590.452528466,745.363682622,635.457731268,649.54658303,637.751093377,583.770671974,625.834864919,547.494544873,631.446988656,622.806644217,614.558467373,685.191979221,675.733376407,703.054576833,648.275813873,630.508113525,643.587001816,623.488751058,627.027967787,478.910984258,515.332427817,601.210893541,438.670150511,508.879858215,551.880476547,474.947592607,453.334408962,497.503917787,516.371665396,700.215893365,721.803118322,736.28114661,698.253533986,641.755771647,701.322413555,717.202403355,741.847371197,748.560634905,693.037336102,625.156026872,530.176722426,595.130523132,598.610542721,616.318602112,551.716728754,538.308179237,487.799522929,482.790603031,563.732459434
0,0,0,660.105660931,609.873032374,537.167047501,659.677479443,597.834977658,671.855917503,597.555543502,475.784081721,553.968484562,543.724121351,629.717739757,564.165581941,518.827051715,545.389398843,442.891334112,501.00819174,508.407141421,673.896615485,645.464739076,591.527506713,628.226523836,603.527961973,640.398752766,596.665196305,675.401389244,641.21508531,621.450685263,521.164329467,514.258457155,587.516214429,472.190926375,583.257221561,586.470514507,612.275649627,529.5493074,547.275896899,607.89390196,594.182706183,617.637970734,676.401685296,557.549334363,494.53695259,528.86554071,583.521798204,568.816101594,581.609336032,539.138133098,624.925258836,590.213505555,597.88965171,569.915164852,542.24608213,608.169235805,639.730389715,550.811909754,538.305706798,646.123676751,519.413514406,571.641894541,531.381965943,608.141558303,576.94226145,568.410627967,641.769328203,575.550574492,595.169035759,618.710074418,678.467188639,716.065960554,714.177263905,705.208481839,714.061631652,725.811610384,647.878130838,571.937472384,743.193507869,643.253882673,584.952347322,455.52939959,633.015292363,575.988084722,532.252130336,572.475041068,546.71528945,513.768440527,604.011622569,545.07474475,659.170615872,784.499968829,713.674086529,554.659957532,572.676945281,570.006386872,570.605871887,600.354828382,731.445085993,639.38782035,670.935043175,763.178563097,636.047888616,692.039256794,759.736195497,672.374197206,716.588390307,752.162742232,723.873838307,622.289954984,590.494314741,462.817436178,543.082098769,514.341374773,477.383355538,564.960029837,516.421827219,593.922198412,476.064481499,529.212949505,771.442102232,639.949296358,620.277733258,636.895476653,515.088721539,720.335117554,691.040250432,630.411652126,695.36971053,600.553584308,552.746460922,659.129165323,565.844833003,594.947914814,614.559427903,615.500604467,502.587767876,570.276154221,529.745095906,640.912016301,622.736619551,558.200347001,701.895712602,602.366488793,609.322201017,594.245429171,562.204009936,595.361066972,523.872493551,592.537646261,586.417489543,578.930502189,650.384927247,647.150638534,646.759563497,610.612290023,598.272452685,608.8176479,590.059697707,590.184498225,449.878301014,483.755243106,567.140386852,424.854716703,474.287777235,515.080455396,455.544389471,442.93462426,479.384818788,486.145158948,682.9013883,688.734705881,687.6570568,673.8420005,614.974217076,653.171868222,670.960323859,698.254949319,699.010254424,653.026680993,570.334344531,498.18492009,558.800519683,572.579880685,572.251293126,524.542662273,505.596232533,460.256187515,459.119334223,536.760944521
0,0,0,0,789.147551697,608.47076652,736.526851232,680.024776593,775.27750327,659.172965709,532.405607434,636.162821682,619.083364361,718.253633954,641.169533809,582.129765307,608.728811088,490.383217461,567.16959336,564.072699681,774.484746218,722.848066811,656.989736349,713.190676279,682.606596131,719.91969339,676.027144708,756.643623671,725.148197315,693.878033308,595.698549523,572.296530871,676.02261058,526.239448193,644.663254521,658.734124982,688.089464157,594.386136835,616.064262133,675.283237016,675.285962237,704.62153881,764.711075647,614.092253032,547.818210354,584.920471888,660.626695513,639.728909894,643.521354867,596.526233744,713.0320982,668.668898879,685.373147289,644.619958603,610.708883059,686.993447117,728.090014247,625.08723821,617.497322097,719.194050925,597.335237659,646.807061907,606.603581065,687.247641351,656.308538485,640.698370636,727.383857978,654.853106919,672.923779012,698.963841006,751.065697384,805.381407096,810.805809304,793.870542253,795.221109227,831.293767004,738.956436526,649.205446691,842.38225968,738.404432656,659.581840217,516.078799412,713.118244853,648.168347444,597.255765066,653.014185983,627.670056947,586.698701522,677.996271254,627.143177444,744.102983922,903.270348637,795.12783268,612.643062637,647.488033054,634.531073952,635.363507574,673.15627559,822.568693149,725.377192306,755.552494109,859.114565049,714.778143804,773.503138076,862.378207612,765.825313972,796.974273748,861.026042584,822.226092174,689.865730947,673.060106273,516.420010989,605.546933771,585.975841031,538.692643002,638.046213554,579.936266976,685.127489415,528.067509415,576.646292825,886.902062583,703.411784632,704.422476612,724.620558798,589.813534157,799.854319707,766.107083512,700.177949754,778.523110613,674.694131659,626.114351797,742.873920828,636.249284327,663.297004832,692.351471255,683.561497907,562.83604402,640.104421403,601.517111019,738.18948914,688.059867793,629.070451027,794.424705401,681.468641254,697.755332165,664.927996947,622.99747919,669.699840789,596.330254678,677.573610995,657.657102825,653.675185023,739.690628558,716.490751783,738.735139337,697.972538726,677.12193147,679.483536122,669.74327848,665.792347223,501.520180538,550.311681599,635.216205285,470.773038281,534.753496705,583.124066627,500.507577012,485.405144721,530.554281719,556.841502791,759.374760842,774.523931654,776.441749302,759.101177889,685.12632124,736.637361369,757.957608293,791.085977766,804.484795556,739.725229487,659.661905189,575.245395903,636.217605511,647.197510262,643.080973402,594.165389865,564.710894559,517.101564921,518.934475064,600.391884321
0,0,0,0,0,674.877755488,663.328956711,616.431800215,672.532530123,588.84307461,484.735905917,570.375763546,558.983780051,641.458819792,569.66388782,529.149909426,547.33844854,437.741102738,512.690815415,529.243693846,700.904211621,654.617923178,597.00222763,626.81120824,629.574711505,669.422240854,612.258446772,683.189063897,653.598186139,628.686557488,515.046019321,502.271790454,606.329499834,480.069316362,572.883954424,574.815879719,607.179611374,517.355689298,543.609725276,605.539245958,601.519847691,627.068083041,680.29962871,553.904167224,489.662564619,517.266277886,585.22943781,577.098208018,589.557504567,554.044620313,638.316387756,610.242554919,634.146344755,592.289304465,553.233997833,613.346616033,657.565278248,562.666228847,551.614649176,639.502649393,540.766507981,591.906545023,536.288586054,606.401441461,588.818376278,573.319152691,657.133828086,581.091454893,597.079870888,628.284712008,698.733709764,715.15614964,741.161133281,708.207567994,725.236367459,751.661316173,667.75440068,588.332443402,763.213304046,660.272962278,588.54096555,461.106075308,647.361429854,582.789369449,532.421343782,588.766825866,563.758350746,533.157930114,595.251913237,554.404938503,660.327744747,821.047460463,709.976991851,557.418844843,580.963349187,580.607814772,575.484494951,596.374857016,740.475674249,653.638101889,679.483011711,784.966892356,647.76148168,700.766715338,770.993697522,691.990053146,727.587212324,785.269264215,732.623250709,633.511657651,595.019581585,470.209521211,551.146201695,522.059579946,496.105014063,566.155137338,513.98173153,598.200309974,492.43537032,539.045766162,799.260876014,648.600963403,638.306042598,660.922250869,517.197562718,748.366182366,672.655127562,635.465009574,715.538317204,619.342968819,575.908820496,666.956070695,572.292436889,578.761346954,642.481941005,608.914875398,508.732881375,559.209217577,536.308455829,647.344601005,610.877162508,564.842352436,709.460051432,612.750430719,613.480116218,595.831142119,559.098428058,599.278280609,532.183906455,610.767062096,587.191609328,577.265354447,676.838898398,637.006728117,678.926914448,631.446410593,614.249753137,617.300670853,599.374692824,599.677732082,447.727568118,502.111159312,559.184021792,436.354052929,482.3356912,530.690052167,451.929446176,439.748408587,466.956909431,499.806402711,682.347888076,695.958246494,710.827217479,671.567639084,617.25097488,671.610435569,690.238903968,710.340610579,728.175905521,650.436590178,598.099009564,516.213137457,570.084939562,578.445956419,586.439821689,522.234588278,519.016875302,469.444076613,462.213237712,529.851545923
0,0,0,0,0,0,941.00073011,724.170384582,821.254262755,733.982200372,571.627986379,689.258173709,649.753605552,773.93549831,679.568719177,623.023580862,652.640134839,532.159731377,611.876366414,628.789876015,847.859778955,783.745144097,703.448068304,782.674630209,738.727087021,803.490777842,741.360819666,842.004014317,785.9322753,772.696942997,634.053975196,598.482299403,711.986453345,564.296507551,693.138368524,685.870614364,749.260742596,630.43129106,666.691999191,736.541313869,727.932692219,758.637851985,834.513714177,680.592255355,582.032754994,632.136892582,721.076472304,677.263179193,693.768154886,660.015508528,773.920862107,732.495816216,749.846511093,709.038317502,648.656119229,761.051264727,798.004926708,659.344533945,667.417319474,784.95384391,631.675291617,685.539285416,648.08250388,724.952592109,700.08441701,701.946380253,799.376365697,684.511750636,722.519764232,772.860053256,834.456809176,902.691812453,894.388538164,845.352089208,885.877044169,900.527727636,810.814345724,696.998134503,927.072522622,813.79922531,710.170413733,541.965759132,764.186768482,692.389741836,629.454943456,700.218203158,673.601284464,646.982191166,739.343559006,676.344064404,817.10745934,1007.10237953,879.943636354,685.768618678,692.860001391,687.781247712,702.682487884,713.359561799,894.290972784,773.836523221,841.424936589,958.439308248,787.320027173,875.189641916,948.561799589,826.233490895,908.30389312,948.912249183,910.852453343,755.286933554,714.917181235,549.172046566,639.568147846,622.65054661,591.023328258,688.91642043,633.274070484,722.791664548,560.630993956,633.585292561,967.049558643,783.790742385,739.283226041,793.373823577,640.372590482,895.779227706,844.088219148,791.031484813,862.592420541,733.834711035,681.750250068,799.65488818,687.536433276,713.011817882,761.84724051,742.149455698,610.283390444,675.328995483,651.476420603,795.340582875,742.076784969,672.078439178,857.396090177,741.729412974,751.810855096,719.624081646,676.665913581,730.695819854,635.638005864,709.12763609,699.085444576,706.865907009,803.014294919,767.933182477,812.769467883,759.667784452,737.167913351,741.909008506,704.614155528,719.428967564,551.243358793,587.499481772,671.828718447,501.522534509,579.598984802,608.053111363,525.851706945,508.523253842,568.766839711,588.444866659,827.08446492,845.122041775,868.018382866,830.031741177,768.965381154,810.326445528,846.723398768,867.497810407,870.124094307,797.563250338,709.337233395,633.339624752,663.239956221,689.427030259,694.216596773,630.585194295,608.343943209,555.721630763,529.195375839,661.757049234
0,0,0,0,0,0,0,789.876016586,752.711736152,656.609723385,525.686704779,624.509725079,613.945304263,705.305635383,633.038522072,586.614100622,602.117741976,485.792295335,561.775591387,571.769945022,770.038471863,715.962026966,655.666979411,688.042933931,685.976578117,721.405559721,673.190969116,751.43032747,718.849628814,686.963393748,584.997678375,566.507392118,667.440378214,522.509274539,644.330847311,641.132397072,675.824888034,580.764429093,610.883300231,668.962416351,668.28107966,695.79658126,740.912288508,608.875440191,541.588758522,575.882046588,647.623673159,627.073781396,642.098940239,594.152399041,705.2824826,669.209149951,689.676744362,639.909401992,606.690758891,674.047972518,720.420671501,623.804036951,614.810280295,709.211981987,595.088524204,644.900691776,592.252302757,679.196081685,649.531630053,627.08825044,714.421330767,647.427172568,671.792659897,689.901546012,750.995923274,792.357296473,795.328623522,784.99322083,794.176488766,822.4889642,737.351501948,642.734780178,844.50788369,735.72390608,640.619447211,511.645654017,712.182726641,645.465344528,595.188053007,638.799853313,615.776313309,579.069936285,656.50414476,616.989029367,722.240213389,892.762642595,776.594714668,601.414415962,647.892849434,625.28817457,630.476506657,662.216760605,810.548206608,709.996730702,739.987449476,848.06057088,701.715940079,754.62964468,840.032396285,758.263993418,779.106643494,848.942204897,810.11594037,693.122042801,663.63185506,515.374100433,613.608420172,572.223888814,545.201870282,623.124369493,570.327285703,670.645554419,531.533237869,567.616775456,865.073869962,703.659416422,704.680323789,730.823381874,577.572309866,807.765194373,752.820141373,695.43838707,779.197604126,671.723479319,624.675829885,739.111805896,619.3247495,650.002612108,702.057184261,671.983453362,555.619096673,632.015648757,594.441027682,724.403925845,667.560957733,622.013145787,791.405941314,676.906188958,672.835568114,660.964564996,614.883353731,650.658009231,583.205458251,677.211710126,648.8907339,636.678439529,744.947874958,721.751077877,734.584874378,689.489369633,678.182418364,684.494549438,665.557412495,663.761474399,495.695879268,545.47566146,622.575052429,486.322418184,525.781185628,583.700276681,488.098518605,482.560212442,508.539470344,548.374106333,758.173173623,769.183354776,768.837585595,734.691621021,684.446061821,732.804491234,748.468523726,783.030063663,793.303210274,727.883742566,654.822557841,566.479860749,628.9852064,654.754851837,637.198864866,585.762509598,572.447906936,508.343882594,512.985986876,590.707330972
0,0,0,0,0,0,0,0,1004.61519262,731.503588442,586.098639721,715.830538722,695.086687874,800.395221253,725.315793945,655.720985562,691.085595821,550.892913825,628.340551562,635.642325603,861.03687153,800.131258959,741.565209022,810.69172104,759.605208403,809.147744574,754.536610205,842.459543504,823.329185786,764.169097293,669.21884658,638.900506443,773.875701909,586.926672849,724.165593987,729.255357386,778.115747676,658.741587998,697.372686764,745.366483023,736.969684784,781.107528036,859.550519992,686.277497868,598.171394329,650.629899468,741.952021737,721.230633926,720.483447359,666.782141095,784.773831613,736.069176347,764.129040725,721.504796533,664.330616846,785.298343137,809.638132573,696.297308722,690.159084686,805.872651625,678.805155149,720.971363211,672.039720089,771.06586392,728.847773707,717.257926827,806.60049107,745.958637325,760.758696344,778.851493802,845.790444481,895.906827519,912.361465341,911.509520464,896.486516139,918.032290233,842.357006799,728.028922849,945.981226569,845.491487575,742.21913425,571.313279944,791.704901905,709.219694571,676.777964726,747.636933649,688.941614069,648.516292728,755.031452559,706.008855723,840.703004317,1025.78667569,904.926314225,688.529807804,721.403689191,690.335061672,721.840016598,759.487502928,915.442642353,795.738307211,871.70847303,955.259718016,793.369145821,866.511606912,992.871620999,860.912960195,896.94596391,988.105192493,932.271674327,781.67584192,747.469561383,565.669728194,661.182848189,652.793531465,606.451587947,699.616038916,643.882828924,779.576723403,577.741296054,639.624049106,1001.17266364,771.290295105,807.285844806,822.491467964,654.735699446,885.880432757,865.115818098,775.309384545,881.792270035,756.712447971,692.437153297,834.063923693,715.475018932,715.136523736,771.2297608,773.147749557,623.831615187,718.500291758,674.745316713,832.977248993,770.090451269,693.131793851,884.056679974,748.910832841,773.774612767,730.396377156,696.917444441,740.493511459,665.13200168,776.464542519,737.023766966,737.215776328,826.857620595,807.419750856,832.553879819,800.596707227,762.128660341,751.706643039,751.966869016,741.123593093,546.904992542,605.988873056,706.177497604,511.881157989,585.154404519,655.702723954,546.157252995,526.052055395,574.934058405,605.267435674,852.409335004,876.69271544,858.051699237,840.570137096,762.856976991,824.739135076,839.616037226,906.148568611,894.389468168,839.258907113,723.69615936,648.857421516,706.417801851,714.371487792,711.30770728,671.089562762,611.18292616,578.055481171,575.822865929,669.368474705
0,0,0,0,0,0,0,0,0,770.226181084,524.393750361,615.313824757,582.675501892,693.264196763,617.90344493,574.68816836,582.629445652,479.669448855,550.07575178,560.077424326,753.762893326,701.31970885,645.42137846,707.718164826,668.033279425,725.623009089,658.815347886,763.640976312,694.391807988,701.007333928,573.473081262,549.128979,642.633634217,516.751537782,629.559031712,627.393786857,680.810486362,572.82841743,604.598578182,663.872306208,665.98919868,684.287822276,739.906101788,609.958805018,535.620517502,570.779817192,647.046944352,617.286592513,635.83669332,595.614610203,706.876172723,664.730378796,672.09522291,631.873947132,594.784873094,678.698744592,710.233564693,595.733837609,601.223964131,703.992305265,565.433778511,619.199682264,587.429419687,654.04532248,633.805456741,634.839766565,710.707082039,626.90606745,653.940354337,695.933253745,746.023349983,807.614128207,797.250226495,768.737018525,798.560276122,805.875922009,729.279370389,633.486967641,817.5287706,725.023406798,629.775637195,495.845734073,689.431960253,627.789460893,578.397429079,627.595548785,609.677116589,578.665524924,661.943486067,605.944458339,728.787885986,888.033638561,793.805223307,621.204607243,629.767129823,626.418649696,629.745367272,645.307670935,808.13527203,693.198099145,749.210533359,866.569235722,714.46127036,780.515819388,841.61060559,746.958437007,809.947344259,836.425613223,807.303278875,687.097624099,643.613985655,501.863837557,586.703266172,571.322212215,537.364754547,628.652079526,573.910964961,650.891398417,516.502239213,570.41980534,859.785512888,705.647082158,674.624472211,708.095336843,573.569448296,802.191790392,762.521124333,710.770559846,775.15917316,663.743662628,613.035426016,725.780650508,609.975369328,651.847073606,684.703504342,673.3439522,558.139098961,620.256579604,590.755152627,711.607435898,664.033381205,613.39150624,771.700830613,668.24998564,674.261231957,653.240528963,613.618973907,654.860399328,578.627070511,633.805875834,627.994623321,632.835896636,727.655512555,697.602722242,723.54979929,672.788642759,671.106091168,670.356399026,640.910323317,651.461284134,494.218591398,525.426576915,614.766456711,464.223786594,521.889139584,557.235168769,477.284437133,461.904237385,525.836664525,529.919182477,750.711959241,755.321690044,776.072551332,751.651739723,691.851870578,719.455857363,757.002507791,775.567251545,775.270527232,730.700412281,627.520050455,564.940386692,603.787802833,628.095266098,631.020019945,563.320410314,556.93946998,498.216792743,482.528558935,597.130473981
